,pseado,tweet,lesreaction
231,LogiBike alias J.R.@LogiBay·23 août,"Jean-Jacques Sempé avait si bien illustré la mobilité en 1962... et maintenant où en sommes nous, les VE ? 
Le Low Cost aérien et le le Jet privé ?
Le CDG Express et le RERB ?
Preuve de plus que la technologie n'est pas solution à tout, le vélo reste aussi efficace et d'actualité","1 réponse, 10 Retweets, 26 J'aime"
232,Collectif Citoyen 06@CollecCitoyen06·21 août,"Que ce souhait se transforme en décision politique ! Face au dérèglement climatique, il n'y a plus de temps pour tergiverser !
#climat","5 Retweets, 9 J'aime"
233,Bernard RIVIERE #soutienMacron@BernardRIVIERE5·20 août,"#populisme ! 
La totalité du transport aérien produit 2,1 % des émissions mondiales de CO2 dont :
- 220 vols privés / an en France
- 30 500 000 vols commerciaux / an dans le monde avec des avions qui polluent 20 à 30 fois plus qu'un jet privé 

Vite ! Une #LoiAntiConneries","31 réponses, 93 Retweets, 160 J'aime"
234,Big Boss@ColonelBigBoss·24 août,"Quelle abondance et quelle insouciance ?
Le diesel me sert à aller bosser.
Je n'ai pas de clim.
Pas de piscine.
Pas de jet privé.
J'ai un petit appart avec du courant de quoi faire tourner mon ordinateur, la lumière et la machine à laver.
Ah et aussi pour cuisiner.
C'est trop ?","5 réponses, 19 Retweets, 60 J'aime"
235,Voyage en Absurdie @VenAbsurdie·21 août,"Amusant de lire toutes ces personnes qui ne pourront jamais se payer un trajet en #JetPrivé défendre ce moyen de transport hyper-poluant. Le #liberalisme triomphe quand les classes inférieures opprimées défendent la classe supérieure opprimante, comme s'ils en faisaient partie.","50 réponses, 159 Retweets, 461 J'aime"
236,KiffDuRifⵣ@MohaDTY93·24 août,Ronaldo qui arrive en Jet privé a marignan aéroport de Marseille pour signer son contrat #RonaldoOM #VenteOM,"7 réponses, 13 Retweets, 60 J'aime"
237,Le Journal de 20H02@ableLesEnfants·23 août,"Suite aux polémiques concernant son jet privé, Vincent Bolloré décidé de s'en débarrasser et de prendre un Airbus A380 à la place.","1 réponse, 8 Retweets, 21 J'aime"
238,Rebel-Lion_Non_Officiel@Freuderic·22 août,#Infauxrigolo Bernard Arnault aurait fait le tour du monde en jet privé afin de trouver un pot de moutarde.,"2 réponses, 5 Retweets, 11 J'aime"
239,𝕃𝕚𝕩𝕚 @lixiviatio·23 août,"Bernard Arnault il a pas le choix, c'est le jet privé ou le vélo, no in-between visiblement","5 réponses, 8 Retweets, 158 J'aime"
240,François Asselineau@UPR_Asselineau·22 août,"Bayou ignore-t-il aussi que Von der Leyen et les Commissaires adorent voyager en jet privé?
Fin 2011,on a appris que,sur 34 voyages officiels,la présidente de la Commissiona utilisé 18 fois des jets privés,dont 1 fois pour un trajet de 50 kilomètres.
https://lesoir.be/404195/article/2021-11-02/ursula-von-der-leyen-prend-un-avion-prive-pour-un-trajet-de-50-kilometres…","14 réponses, 170 Retweets, 432 J'aime"
241,C.R.E.A.M |L9|@R1broyrooy·26 août,"J'ai pas de piscine, je golf pas et je prends pas de jet privé

J'ai fait ma part pour la planète, je ferais rien de plus tant que certains continueront à faire tout ça.","1 réponse, 28 Retweets, 35 J'aime"
242,Duval Philippe@p_duval·24 août,"Macron va t'il faire des vols en jet privé, grande cause nationale de ce quinquennat ?

@EmmanuelMacron @CBeaune","5 réponses, 20 Retweets, 126 J'aime"
243,André.04@AndreDedand·24 août,"Et lui…l’abondançe il ne se prive.pas…jet ski, gueuleton.. sortie en avion..etc.. mais NOUS, on doit se priver..","3 Retweets, 5 J'aime"
244,Transport & Environment@transenv·22 août,"Un vol en jet privé est une aberration climatique

Il faut taxer les jets privés qui utilisent des carburants fossiles. Les recettes pourraient être investies dans des technologies propres afin de rendre l'aviation plus verte pour tous","4 réponses, 13 Retweets, 28 J'aime"
245,Marquis de Dreslincourt@dreslincourt·22 août,"Dupont-Masérati, ( Karting) Clément Beaune ( Jet Privé) , Véran ( Augmentation des cancers)  et Macron ( faillite énergétique) tentent de se défausser sur des boucs-émissaires ! Quel meilleur moyen pour détourner le regard que le bruit des bottes!
https://dreslincourts.wpcomstaging.com/macron-guerre/","9 réponses, 142 Retweets, 200 J'aime"
246,Agence France-Presse@afpfr·23 août,"Olivier Véran, le porte-parole du gouvernement, a estimé sur la régulation des vols en jet privé que, même s'il ""ne s'agit évidemment pas de les interdire"", ""il ne faut pas que les Français aient le sentiment que ce serait toujours les mêmes à qui on demanderait des efforts"" #AFP","75 réponses, 72 Retweets, 181 J'aime"
247,Julien Bayou@julienbayou·22 août,"Demander un petit péage aux multimillionnaires détenteurs de jet ne va rien changer. Un passager de jet privé émet 10 fois plus que celui d'un avion de ligne. Pour réparer cette injustice, il faut leur interdiction pure et simple.

C'est ce que j'expliquais hier sur France 2 ","311 réponses, 160 Retweets, 649 J'aime"
248,Ornikkar™@ornikkar·23 août,"Et moi qui viens d'utiliser la prime de rentrée scolaire pour remplir la piscine de mon jet privé.
Je culpabilise maintenant.","6 réponses, 33 Retweets, 201 J'aime"
249,Gaël Jouñeau@GaelJouneau·23 août,"Moi j'm'en fous,j'ai une piscine dans mon jet privé","5 réponses, 2 Retweets, 20 J'aime"
250,Loïc Letemplier @LoicLetemplier·22 août,tour de France terminé... sapin de Noël terminé... barbecue terminé... viande terminé... Jet privé terminé...EELV c'est une certaine idée du totalitarisme vert.,"21 réponses, 55 Retweets, 220 J'aime"
251,Jean Louis@JL7508·21 août,Difficile d'être plus populiste que Beaune qui sombre dans la démagogie autoritariste en menaçant les entreprises d'aviation privée et leurs salariés pour tenter de faire oublier les conséquences délétères de l'obscurantisme anti-nucléaire de son patron.,"14 réponses, 60 Retweets, 191 J'aime"
252,Gilbert Collard@GilbertCollard·22 août,"#Climat : Un jet privé ""pollue dix fois plus qu'un avion"", il est ""donc temps de les bannir"", martèle Julien #Bayou : il y a aussi les pollueurs de toutes les libertés...
Src : France info 
#Interdire","62 réponses, 90 Retweets, 334 J'aime"
253,Guillaume Gouffier@G_GouffierCha·20 août,L’urgence climatique implique la mobilisation de tous ! Et certains comportements ne passent plus ! Merci ⁦@CBeaune⁩ de se saisir du sujet de l’encadrement et de la régulation des vols en jets privés ou en avions privés. Tout mon soutien @le_Parisien,"58 réponses, 34 Retweets, 95 J'aime"
254,mimic@mimic591·26 août,Végétarien en jet privé ça passe ?,"1 Retweet, 3 J'aime"
255,beruriernoir @beruriernoir007·20h,"Comment ""le parisien"" peut il évoquer un ""pied d égalité"" avec ce fameux ""paSScarbone"" pour tout les citoyens,  mettre sur le même niveau un ""jet privé"" et un steak, et ""en même temps"" dire qu'une x les points utilisés les + aisés pourront se payer des points...c est fou !","2 réponses, 7 Retweets, 10 J'aime"
256,Charles Lacroix@CharlesLacr0ix·22 août,Cet homme s'est acheté un jet privé avec l'allocation de rentrée scolaire... Quelle honte. Stop à l'assistanat !,"2 réponses, 4 Retweets, 117 J'aime"
257,MDP @houlalah·21 août,S'ils me prennent mon jet privé j'arrête le tri PMC.,"2 réponses, 4 Retweets, 35 J'aime"
258,Jean-Marc Zulesi@jmzulesi·22 août," Face au dérèglement climatique, chacun doit œuvrer pour réduire son empreinte carbone.

 L'usage d'avions privés doit être mieux réglementé en France. La sobriété énergétique de notre pays ne peut se faire à deux vitesses !

@CBeaune","1 réponse, 9 Retweets, 28 J'aime"
259,Solarus @Solarus0·24 août,Cool on va donc pouvoir interdire les jet privé et les yacht.,"2 réponses, 6 Retweets, 10 J'aime"
260,don dada enthusiast@Tgdt31·25 août,"Inflation : dans une villa en Corse, des bourgeois devront choisir entre rentrer dans le 6eme en jet privé ou à Manhattan en première","1 réponse, 1 Retweet, 8 J'aime"
261,Marc MEINAU@Mrc_Mno·21 août,"Macron nous appelle à payer le prix de la liberté. Laquelle ?
Celle de Bernard Arnault de continuer de nous narguer du haut de son jet privé ?
Celle de Total de continuer à carboner notre monde ?
Celle de Leclerc et consorts de saigner les paysans pour notre pouvoir d'achat ?","5 réponses, 23 Retweets, 32 J'aime"
262,Velouté@Letoulouzingue·26 août,"- Monsieur le président, il manque des conducteurs de train
- On remplace par des bus alors. 
- Il manque aussi des chauffeurs de bus. 
- Qu'ils prennent un jet privé !","1 réponse, 4 Retweets, 23 J'aime"
263,nico l arsouille@nicolarsouil·23 août,"Il a raison Olivier, quand Bernard Arnault prend son jet privé pour aller manger une glace à Nice avant de s'envoler dîner à Barcelone et revenir à son manoir dans la nuit, il fait marcher le petit commerce","7 Retweets, 31 J'aime"
264,Le Figaro@Le_Figaro·21 août,"Clément Beaune envisage de réguler les vols en jet privé

«Il y a un certain nombre de comportements qui ne passent plus», explique le ministre délégué aux Transports.","65 réponses, 15 Retweets, 60 J'aime"
265,Pois chiche fortuné tah Elf Aquitaine @dareljedid·24 août,"LE coté tellement faux cul de la droite en genéral sur cette affaire de Jet privé, je veux dire ce sont absolument les premiers à promouvoir la politique des ""petits gestes"" Individuels en termes d'environnement. Ptn si prendre son  jet n'est pas un PTN DE GESTE INDIVIDUEL.","4 réponses, 25 Retweets, 102 J'aime"
266,Daisy Guy Stardust@DaisyLetourneur·24 août,"Salut la commu ! Petit sondage en lien avec l'actualité: face aux nouvelles sur le climat, qui ici a arrêté de prendre soin jet privé et qui continue ?","108 réponses, 68 Retweets, 189 J'aime"
267,seb@sebfr23·20h,"À cause du réchauffement climatique un éleveur de porc breton renonce à partir en vacances avec son  jet privé 
Bravo bel exemple 
@agriculteursBzh @Fragritwittos #teampig","2 réponses, 1 Retweet, 35 J'aime"
268,franceinfo@franceinfo·21 août,"Climat : Clément Beaune réfléchit à une régulation des vols en jet privé
https://francetvinfo.fr/meteo/climat/climat-clement-beaune-reflechit-a-une-regulation-des-vols-en-jet-prive_5317993.html…","153 réponses, 57 Retweets, 134 J'aime"
269,Thin White Dude@OhBungalowBill·23 août,Si je ne voyage jamais en jet privé c’est bien parce que ça fait pollue trop.,"3 réponses, 4 J'aime"
270,Nathalie @Nath29021·26 août,Quel est le rapport entre utiliser un jet privé et mettre de l’essence dans sa voiture? Vous nous prenez vraiment pour des cons.,"3 réponses, 12 Retweets, 86 J'aime"
271,RTL France@RTLFrance·22 août," Faut-il interdire les vols en jet privé ?

 Réécoutez le débat entre @Portes_Thomas et Arnaud Aymé dans #RTLMatin ","17 réponses, 9 Retweets, 24 J'aime"
272,funcorporation™@funcorporation·20 août,Pardon d'être désoler mais quand je pisse sous la douche ça fait un jet privé.,"10 réponses, 36 Retweets, 200 J'aime"
273,Cheedee.@Cheedee·23 août,Tu réduis tout tes bails au maximum pour qu'un riche fasse 7 minutes de trajet en jet privé pour impressionner une baddie d'insta eh c'est bon frère ptdr on va tous crever c'est pas grave it is what it is,"1 réponse, 203 Retweets, 359 J'aime"
274,Jean Gautier  #JLM2022@NeoResistant·26 août,"Le passager d’un jet privé pollue jusqu’à 14 fois plus qu’un passager de vol commercial 
https://numerama.com/sciences/1086718-le-passager-dun-jet-prive-pollue-jusqua-14-fois-plus-quun-passager-de-vol-commercial.html…
#UrgenceClimatique #climatocynisme #NUPES","1 Retweet, 2 J'aime"
275,Jean Noel   @minos2947·22 août," Stop #jetprive 

C'est une mesure de protection de l'environnement, de lutte contre le réchauffement climatique, c'est aussi une mesure de justice sociale.

Le droit de polluer ne fait par parti des privilèges de la richesse !","1 réponse, 5 Retweets, 5 J'aime"
276,Anakin Skywalker #VadorOfficiel #Vador2027@Anakin2017·25 août,Un jet privé,"2 réponses, 2 Retweets, 6 J'aime"
277,L'État de fumier @libertaire10·20 août,"Vols en jet privé, golfs arrosés : malgré la crise écologique, les bourgeois ne se refusent rien  http://revolutionpermanente.fr/Vols-en-jet-prive-golfs-arroses-malgre-la-crise-ecologique-les-bourgeois-ne-se-refusent-rien… via @RevPermanente","17 Retweets, 11 J'aime"
278,𝕍𝕒𝕣𝕞𝕚𝕟𝕙𝕠@varm_2·24 août,Ba après voilà quoi un jet privé de Manchester à Toulon aujourd'hui qui a atterri à 18h,"9 réponses, 11 Retweets, 95 J'aime"
279,Nietzsche-finder General@Helioglobine·23 août,"Il dit vrai. J'étais dans le jet privé de Bébert (un bon ami) et pendant le trajet il pointait du doigt le hublot et criait ""Là je vais ouvrir un magasin ! Ici une usine ! Là un musée ! Là ! LA BAS AUSSI ! LAAAAA !""
À la fin de nos 20min de trajet il avait créé 6278 emplois","4 Retweets, 26 J'aime"
280,Colibryon  @colibryon·23 août,"Mac Lesggy a raison : interdire la liberté fondamentale d'avoir un jet privé, (si c'est vrai) c'est vraiment très très grave ","1 Retweet, 13 J'aime"
281,𝘕𝘰𝘶𝘪@Noui_12·23 août,On y arrivera avec des efforts collectifs ce qui passe par arrêter de prendre notre jet privé pour des trajets de 45mn et laisser le yacht à quai. On peut tous faire changer les choses ,"4 réponses, 123 Retweets, 509 J'aime"
282,Philippe Schoepen@dkp_copywriting·25 août,J'ai rencontré ma compagne dans un jet privé grâce à Dijon-Demain.,"1 réponse, 4 Retweets, 11 J'aime"
283,Emmanuel Vantuycom @ManuPointCom·23 août,"Chez ⁦@rtlinfo⁩ , on reprend les #FakeNews du Ministre ⁦@GeorgesGilkinet⁩ 
Comment prendre le sujet de dérèglement climatique au sérieux quand on propage des données incorrectes ? Les médias ont une énorme responsabilité en la matière !","6 réponses, 17 Retweets, 66 J'aime"
284,Écolo de droite @ecolodroite·22 août,"Bernard Arnault: ""J'ai lu qu'un jet privé polluait 10x plus qu'un avion de ligne, par passager. Je viens donc de m'équiper d'un A380. Chaque effort compte.""","4 réponses, 8 Retweets, 53 J'aime"
285,Gramsci did nothing wrong@TontonPogo·25 août,"Dette carbone personnelle en moyenne sur cette planète : 4 tonnes et demi. À vie.

Dette carbone d'un jet privé : 6 tonnes par heure de vol.

tant que tu ne nous prouve pas noir/blanc que ces six tonnes par heure servent toute l'humanité c'est ta daronne le populisme, françois","2 réponses, 21 Retweets, 48 J'aime"
286,Christine Arrighi@ChArrighi·24 août,Une heure de vol en jet privé l’émission en CO2 de votre  pendant un an. Il est plus que temps d’agir pour responsabiliser les gros polleurs. J’ai bien évidemment signé cette pétition et vous engage à en faire autant :,"24 réponses, 39 Retweets, 86 J'aime"
287,Xavier Ponterlun@PonterluX·22 août,"On.critique Bernard Arnault et Bolloré.quand ils..utilisent un jet privé mais quand c'est Thomas Pesquet qui sedéplace en fusée tout.le.monde applaudit...... 
Commed'habitude dans.ce pays on tape toujours sur nous les ""boomeurs"".......","12 réponses, 15 Retweets, 223 J'aime"
288,Olivier Mannoni @OlivierMannoni·24 août,"Je n'ai pas de piscine, je n'ai pas de golf, je n'ai pas de jet privé, mais l'atmosphère de délation rampante type  1940 qui commence à s'installer dans ce pays me donne la nausée, autant que les marronniers sur la prime de rentrée scolaire. Revoyez M le Maudit.","7 réponses, 30 Retweets, 109 J'aime"
289,Drôle d'oiseau @OYAGAACuiCuiCui·24 août,"Jet ski
Jet privé
Jet lag …
Tout ça nous coûte un pognon de dingue, puisque payé par l'exploitation de notre force de travail.
Quand est-ce que la Jet saute ? ","2 Retweets, 4 J'aime"
290,Lycrem 2.0  Macron 2022-2027@Lycrem2·23 août," «L'usage privé des jets privés est une toute partie de l'usage du jet, qui est lui-même une toute petite partie de l'usage de l'avion, qui représente une toute partie des émissions.Cela ne va pas refroidir la planète. »#Veran 

Quand @olivierveran atomise #Bayou et #EELV","13 réponses, 78 Retweets, 138 J'aime"
291,Surement pas Kobal2@DeuxKobal·4h,"P'tain, 700 balles par mois, c'est bon, à lui la jet-set, les putes avec de la coke entre les seins et son propre jet privé !

Tocard, va.","2 réponses, 1 Retweet, 24 J'aime"
292,franceinfo@franceinfo·21 août,"Climat : Un jet privé ""pollue dix fois plus qu'un avion"", il est ""donc temps de les bannir"", martèle Julien Bayou

https://francetvinfo.fr/politique/eelv/climat-un-jet-prive-pollue-dix-fois-plus-qu-un-avion-il-est-donc-temps-de-les-bannir-martele-julien-bayou_5319361.html…","257 réponses, 160 Retweets, 675 J'aime"
293,Renaud Tarlet @RenaudTarlet·15h,"Pour payer son hérésie contre le Grand Macron Suprême, Beaune devra faire 8000 km en jet privé avec ses collègues ministres homophobes qui lui parleront de l'homosexualité qu'ils trouvent contre nature. Il obéira, c'est ça l'esprit de larbin.","7 Retweets, 20 J'aime"
294,Stein van Oosteren@LCyclable·26 août,"“On va trop lentement pour faire face aux crises. Le #jetprivé électrique ne va pas nous sauver en fait. Il va falloir du low tech, du vélo donc.”

@MargotBelair","4 Retweets, 16 J'aime"
295,GanonNathalie @Weekendparfait·19 août,"Jet privé, champagne et cadeaux… L’anniversaire fastueux de Choupette, la chatte de Karl Lagerfeld","4 réponses, 4 Retweets, 14 J'aime"
296,Claire Lejeune @ClaireMLejeune·24 août,"Il y a beaucoup de débats ces jours-ci sur ce que veut dire être ""riche"". Ça touche à des questions de justice sociale qui sont complexes. Certes.

Mais une chose est simple, claire, limpide, certaine: si vous possédez un jet privé, vous êtes assurément ""riche"". 

#JetsPrives","13 réponses, 30 Retweets, 99 J'aime"
297,Les Grandes Gueules@GG_RMC·24 août,"#Ecologie : doit-on interdire la construction piscines privées ?

@CharlesConsigny : ""J'ai toujours trouvé ce beaufisme criminel mais j'adore les trucs polluants ! Si j'avais les moyens, je prendrai un jet privé en permanence !""

#GGRMC","58 réponses, 17 Retweets, 109 J'aime"
298,RTL info@rtlinfo·30 min,Prix des énergies: Ecolo veut redistribuer les surprofits des entreprises énergétiques et taxer les vols en jet privé,
299,"doctor doom ""wannabe retiree""@doctordoom4·21 août","Moi je suggère que l'état arrête le faramineux contrat avec les  taxi G7, et que les conseillers et autres fonctionnaires ministériels fassent du vélo . Charité bien ordonné toussa toussa","1 réponse, 5 Retweets, 24 J'aime"
300,VIGAN 70 # MACRON DESTITUTION@vigan70·27 août,"Dans les médias de Bernard Arnault, on prépare les esprits au "" pass carbone "".
Comme dit Klaus Schwab, dont Macron suit les préceptes à la mettre: "" vous ne posséderez plus rien mais vous serez heureux ""..
Enfin ...pas tous...","7 Retweets, 3 J'aime"
301,"doctor doom ""wannabe retiree""@doctordoom4·21 août","On va voter Macron, c'est le moins mauvais, je me marre . Encore bravo","3 réponses, 2 Retweets, 15 J'aime"
302,DAMIEN ABAD TON GROS CUL !!!@QuintuplePote·23 août,"Sah passer de JET PRIVÉ à piscine/maison à la campagne  ya un bon saut quand meme

Ils ont taxé les superyachts… puis les voitures un peu trop anciennes… aaaaah nan attends jcrois que c’est dans l’autre sens loooool","1 réponse, 26 Retweets, 78 J'aime"
303,Gaëtan Compigni@techmefr·13h,"Top story: @BFMTV: 'Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune ' , see more https://tweetedtimes.com/techmefr?s=tnp",
304,Oliver Tweet@Oliv_Lisle·22 août,"Je suis en vacances, un peu déconnecté, je débarque et j’avoue que j’ai beaucoup de mal à comprendre pourquoi Twitter s’enflamme pour une sombre histoire d’homme enceint qui serait allé faire du karting en jet privé. Qui peut m’expliquer ?","5 réponses, 6 Retweets, 31 J'aime"
305,Mathieu Doligé@MathieuDolige·22 août,Barbecue = Résidence secondaire = arrosage jardin = golf = véhicule thermique = jet privé = yacht = homme enceint = CAC40 = riche = extrême droite.,"69 réponses, 164 Retweets, 909 J'aime"
306,Clémentine Autain@Clem_Autain·24 août,"Macron, un jet privé de retard !

Rapport Meadows : 1972. 

Depuis, la fin de l'insouciance ne peut signifier qu'une seule chose : changer de politique.","148 réponses, 143 Retweets, 485 J'aime"
307,À l'air libre - Mediapart @_alairlibre·20 min,"Pour lire l'enquête de @MickaCorreia en intégralité, rendez-vous sur Mediapart :","1 réponse, 3 Retweets, 3 J'aime"
308,Johann O @JohannGalt49·21 août,"Sérieusement, à quoi ça sert d'avoir des programmes, des débats, des scrutins pour choisir le Président et 577 députés, s'il suffit à une quinzaine de militants d'extrême-gauche de faire du bruit sur Twitter pour décider de l'agenda du Gouvernement ?","6 réponses, 39 Retweets, 185 J'aime"
309,Bajus Bambagha@antsoko22·22 août,"Plus de tours de France, plus de sapins de Noël, plus de viande, plus de jet privé, plus de barbecue...
Finalement le dictateur c'est pas @EmmanuelMacron .","154 réponses, 352 Retweets, 1425 J'aime"
310,François Asselineau@UPR_Asselineau·22 août,"Sérieusement, Bayou n'a-t-il jamais remarqué cette prédilection des dirigeantspour les déplacements en jet privé ou les grosses cylindrées très polluantes ?
Cela avait pourtant fait scandale le 25 mai dernier,avec l'embouteillage de Mercedes à Davos:","8 réponses, 118 Retweets, 321 J'aime"
311,Tribunal du net@Letribunaldunet·22 août,"""Réguler les vols en jet privé"" : le gouvernement veut agir dès la rentrée https://letribunaldunet.fr/ecologie/reguler-vols-en-jet-prive-gouvernement-agir.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1661170209…","1 Retweet, 1 J'aime"
312,La Hyène insoumise φ@Hyeneinsoumise·24 août,"Fin de l'abondance. Je vais donc être obligé de renoncer à mon jet privé, ma piscine olympique privée, mon golf privé.

Pas merci Macron.","9 réponses, 37 Retweets, 113 J'aime"
313,Ludovic Herbepin@LudovicHerbepin·24 août,"#Mobilité JET PRIVÉ Quand la pseudo aile gauche de la Macronie utilise son gouvernail de queue pour justifier l'Impact 50% sur le climat de 1% des plus riches
La grande dérive et son stabilisateur du système En Marche à bout de souffle
 @GEcologie","2 Retweets, 6 J'aime"
314,Jaguard2222@jaguard22222·21 août,"Mais arrêtez d'emmerder les Français !!!!
@CBeaune ce n'est pas en nivelant tout vers le bas (ex école, écologie,...) que nous allons nous en sortir
#Reconquête et vite
Clément Beaune envisage de réguler les vols en jet privé","6 Retweets, 7 J'aime"
315,@LesinfirmieresEncolere @Lesinfirmieres1·20 août," question (importante) du jour : vous êtes plutôt #jet27, #jetski ou #jet privé ","58 réponses, 20 Retweets, 64 J'aime"
316,michael Tavernier@MichaelMickha·21 août,On va « réguler «   les vols de jet privé  qui représentent que dalle en co2 mais  on a fermé #fessenheim … qui a entraîné un rejet de co2 supplémentaire de 7 à 8 millions de tonnes de co2 annuellement  @LaREM_AN ,"4 réponses, 23 Retweets, 65 J'aime"
317,Rick Eyi@eyi_rick·25 août,Il me faut un jet privé. Dieu regarde ton fils qui souffre flying commercial.,"1 réponse, 8 J'aime"
318,Les Grandes Gueules@GG_RMC·25 août," Les indiscrets avec @CyprienPez : Ecologie, #jetprivés...  @CBeaune, un ministre isolé !

COUP DE GUEULE !

@kevinbossuet : ""Qu'on foute la paix aux riches ! Il y a de la jalousie envers ceux qui peuvent se payer un voyage en jet privé !""

#GGRMC","126 réponses, 29 Retweets, 133 J'aime"
319,imagine   - Jm  - 75 @Jm_Porticcio66·24 août,"Fini l’abondance Mr Macron !!! Les 400.000 de coiffeur de Madame, le jet ski, la voyage en avion privé ou voiture privée, le chef étoilé a l’Elysee… Fini pour vous !!!","3 Retweets, 5 J'aime"
320,Jean-Luc Verlan@Quiquequoiou·23 août,Mon jet privé,
321,Daisy Guy Stardust@DaisyLetourneur·24 août,"J'ai 8363 followers. Si chacun d'entre vous s'engage aujourd'hui à ne plus prendre de jet privé, en cinq ans nous aurons réduit les émissions de carbone des zéro gramme ","14 réponses, 9 Retweets, 255 J'aime"
322,Benjamin@sdblepas·23 août,"Pendant ce temps au Lobby, nos Jets privé ont des piscines privées !","4 réponses, 2 Retweets, 7 J'aime"
323,Baudouin Philippe@PhilippeBaudo10·23 août,La résistance anti jet privé s'organise.,
324,Simon Assoun שמעון הסון@AssounSimon·23 août,"Non Olivier Veran, un vol en jet privé ne crée pas d'emplois. C'est de la pensée magique. La catastrophe climatique n'a d'égal que les douilles que vous voulez nous mettre.","8 réponses, 21 Retweets, 72 J'aime"
325,Regain @LaSouche84·24 août,"Jet privé, piscines privées, golf, SUV...
En fait le problème de ces militants pastèques c'est pas l'écologie, c'est les riches. Ils sont animés par la jalousie. Quand on comprend ça tout s'éclaire.","3 réponses, 13 Retweets, 66 J'aime"
326,OLIXIR@Ozixh·25 août,"L’heure d’un vol d’un jet privé, c’est 4000 dollars. Et on peut monter à 5 personnes avec ce prix?! 
A quoi sert la première classe d’un avion de ligne?","12 réponses, 3 Retweets, 17 J'aime"
327,DURAND Eric_JLM 2022@EricJacques117·4h," Légitimement décriés, les vols en jet privé rejettent entre 5 et 14 fois plus de gaz à effet de serre que les avions commerciaux, eux-mêmes déjà fortement émetteurs !
 Voilà pourquoi j'ai signé la pétition ci dessous et vous invite à faire de même.","1 Retweet, 1 J'aime"
328,Noomi@Noomi_Ramp_07·27 août,Prince Harry essoreur à la main du changement climatique est arrivé ds 1 voiture électrique pr monter à bord d'1 jet privé pr l'emmener à 1 match de polo Ayant oublié son kit il a donc laissé le jet au ralenti sur le tarmac jusqu'à ce que le kit arrive ds1 SUV gourmand en essence,"1 réponse, 4 Retweets, 7 J'aime"
329,Frédéric De Cergy@FredericDeCergy·23 août,"#AvecMacron, c'est l'aller simple vers l'Ukraine. On voit déjà le tableau. Les ultrariches bombarderont des positions russes en jet privé et on attaquera par la mer d'Azov avec une armada de yachts de saint trop, les militants eux, seront dans les tranchées du Dombass, ou pas...","1 réponse, 4 Retweets, 7 J'aime"
330,Regain @LaSouche84·24 août,"Leur idéologie est le suicide de notre civilisation occidentale qu'ils haïssent.
Ils sont alliés des wokes qui deconstruisent notre monde.

Si demain chaque africain a un jet privé ils trouveront ça tellement fantastique.","5 réponses, 5 Retweets, 18 J'aime"
331,Emma Confrère@emmaconfrere·21 août," @CBeaune souhaite réguler les vols en jets privés. «Quand chaque Français fait des efforts dans son quotidien, ceux qui peuvent le plus et polluent le plus doivent aussi agir », déclare le ministre des Transports au @Le_Figaro.","18 réponses, 14 Retweets, 27 J'aime"
332,Robot De l'Info@RDelinfo·2h,"Le leader français du jet privé brûle la planète en toute impunité - https://1001rss.com/le-leader-francais-du-jet-prive-brule-la-planete-en-toute-impunite/2022/08/28/…
Mediapart révèle comment VallJet, première compagnie française d’aviation d’affaires, n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’imp...",
333,Simeoni Thibault@t_simeoni·21 août,"Bon @CBeaune faudrait peut être arrêter de faire chier les français et s’occuper du vrai problème en demandant au USA et Chinois qui représentent 43% de la pollution contre 0,9% pour la France, de la baiser, non? 
#JetPrive","115 réponses, 29 Retweets, 36 J'aime"
334,EURACTIV France@EURACTIV_FR·27 août,"Les articles de la semaine :

Le gouvernement et les écologistes s’accordent sur le besoin de « réguler » les vols en jet privé, écrit par @Theo_Bourgery",2 Retweets
335,fathi@fbellahcene·41 min,Achète toi un jet privé avec la prime de rentrée scolaire,3 J'aime
336,Attac France@attac_fr·21 août,"Un jet privé est 10 fois plus polluant qu'un avion commercial et 50 fois plus qu'un train. 

Sur France Culture notre porte-parole @julienrivoire93 critique les exonérations fiscales accordées aux jets privés et demande leur interdiction.","28 réponses, 128 Retweets, 213 J'aime"
337,* Je suis en Mode Guerre * macron@Patrick49000P·25 août,"Pour passer inaperçu,  il passe par la location de Jet Privé
Le Mec est plus que blindé","10 Retweets, 10 J'aime"
338,T à T en Utopie@FFandrolGii·24 août,Bernard Arnault avec son Jet privé,
339,terlag robert@TerlagR·22 août,"Encore une idée de socialiste ou ex! Au final seule une Nomenklatura sera autorisée à les utiliser et pourra se le permettre! Cette soviétisation de la société est dérangeante.
Le ministre des Transports Clément Beaune veut «réguler les vols en jet privé»","1 réponse, 2 Retweets, 4 J'aime"
340,Charles-Antoyne Hurstel@ca_hurstel·26 août,"Régulation des jets privés, plan d’austérité… En France, la demande est forte pour une intervention de contrainte législative par le secteur public. 

En revanche, un rôle est complètement oublié. Le secteur public doit avant tout stimuler le financement privé. 

[Thread] ","2 réponses, 4 Retweets, 10 J'aime"
